Month,UPI_Volume_inlakhs,UPI_Value_inCr,Credit_Volume_inlakhs,Credit_Value_inCr,Debit_Volume_inlakhs,Debit_Value_inCr,ATM_Debit_Volume_inlakhs,ATM_Debit_Value_inCr,UPI_ATV,Debit_ATV,Credit_ATV,ATM_Debit_ATV
2019-11-01,12187.70742,189229.0891084,1762.12447,60130.24837699,4180.83816511,58208.68566903,6236.8864568,281337.84982053,1552.6225120720856,1392.2731129560118,3412.372360789587,4510.870155633358
2019-12-01,13084.01713,202520.7585663,2036.63822,65735.760462,4448.7488,62752.44962681,6453.49566,289534.90439085,1547.848466981486,1410.5640135673652,3227.660161557805,4486.481740205431
2020-01-01,13050.19232,216242.974143,2017.27299,66572.86103046,4500.84588,62871.18627824,6495.686,294174.32186872,1657.0098649933152,1396.8748976190227,3300.1413968498136,4528.764504145059
2020-02-01,13256.93237,222516.95003,1882.94,62147.0,4245.74409,58560.85213342,6148.832,281926.94376221,1678.495022977929,1379.2836047596074,3300.5300221993266,4585.048733844249
2020-03-01,12468.4455,206462.3070262,1638.57148,50574.15084107,3608.1258,48208.95079193,5409.61045,247428.94623539,1655.8784896336917,1336.1216726958355,3086.4781584670322,4573.877334095101
2020-04-01,9995.74376,151140.6642718,768.53233,20764.7694992,2053.66204,23250.48256785,2935.25792,128559.71099565,1512.0502075755492,1132.1474573221403,2701.8732574594487,4379.843764995276
2020-05-01,12344.97198,218391.5954934,1028.86387,32225.02203987,2658.81667,37983.79281136,4058.60492,195283.41892918,1769.0732376486123,1428.5976630107407,3132.097741936453,4811.58976491804
2020-06-01,13369.30941,261835.0009801,1248.54866,42772.82635118,3002.33734,47711.04166959,4695.02654,228733.4945002,1958.4781303980608,1589.1299433257557,3425.8037128629016,4871.825378439714
2020-07-01,14973.54,290537.86,1319.66372,45558.01705071,3161.93045,50324.95929037,4661.48431,231210.40856447,1940.3418296541765,1591.5896976914848,3452.2444135017968,4960.016878496584
2020-08-01,16188.28462,298307.60926612,1425.10546,50311.00028764,3389.42109,54770.06691859,4834.49647,235549.49433045,1842.7376109854931,1615.9121414621868,3530.3352418311556,4872.265308127322
2020-09-01,18001.67,329031.84,1486.70569,51133.75013293,3507.81077,55366.35376428,5038.61002,240204.74868312,1827.7850888278701,1578.373446988419,3439.39963887069,4767.282002966366
2020-10-01,20716.19,386106.7351691,1718.03116,64651.53130129,3932.66485,69140.96481503,5626.50469,267747.22196473,1863.7922087463962,1758.1199378083286,3763.117503718035,4758.677664316139
2020-11-01,22102.28383,390999.18529922,1662.57534,62349.76143805,3765.74526,67888.78782897,5853.65701,276796.54801592,1769.0442684864388,1802.7982017288657,3750.1916417243383,4728.60892845377
2020-12-01,22341.58091,416176.22447486,1737.79292,63486.52313925,3765.08868,65178.31742936,5646.76993,265569.01784462,1862.7877147609604,1731.12303504522,3653.284715836568,4703.025289444013
2021-01-01,23027.28,431181.9,1744.2,64737.09,3699.54322,63157.13396262,5700.50385,266315.16164244,1872.4829853981887,1707.1603224200203,3711.56346749226,4671.782857272169
2021-02-01,22928.94,425062.76,1613.77459,60104.54440012,3445.46487,59226.6709259,5502.1859,258100.15134247,1853.8264743158647,1718.9747439189534,3724.4696237359894,4690.8657038009205
2021-03-01,27316.85,504886.45,1887.27091,72318.81689733,3763.05309,67386.40763227,6003.6797,283954.60928824,1848.2601398038207,1790.737627681729,3831.9255870546963,4729.676189891344
2021-04-01,26410.61,493663.68,1575.31597,59049.12310267,3213.23241,56183.10469861,5222.46818,254396.57897062,1869.1869669045886,1748.4917842780628,3748.3986849108114,4871.1944276627455
2021-05-01,25291.82,489105.61,1344.73103,52013.86915717,2556.59647,43225.10196446,4139.6601,201977.90531099,1933.849007307501,1690.7283754663092,3867.975676680116,4879.09394568385
2021-06-01,28075.16,547373.16,1547.00942,62746.02123833,2946.74079,51043.57134184,4732.0374,228680.85308728,1949.6706697308225,1732.2043226557435,4055.955990127714,4832.608742426254
2021-07-01,32455.01925,605883.20220325,1820.48822,74884.76330914,3405.36735,61087.4380805,5344.69838,253780.20312225,1866.8397560825665,1793.8575138009705,4113.443991916631,4748.260520591809
2021-08-01,35555.45,639116.95,1904.70608,77733.01653802,3588.29212,64866.74505667,5652.37152,261683.22859576,1797.5217582677199,1807.7331189153574,4081.102977212107,4629.618341077482
2021-09-01,36558.17,654648.28,1847.20792,80227.75376321,3490.29003,62589.0509137,5508.81882,256766.62358611,1790.7030904446258,1793.233524312591,4343.190222095302,4661.010499272692
2021-10-01,42184.32177,771406.98756834,2155.81179,100942.7795994,3852.94885,76470.50990515,5998.03386,288604.72525782,1828.6580302849325,1984.7268386433418,4682.355856278159,4811.6554856831035
2021-11-01,41864.8,768436.0,2011.16,89216.84,3407.0169,67109.35819605,5653.67886,270515.08824097,1835.5181441210752,1969.7395159985851,4436.088625469878,4784.76218652734
2021-12-01,45662.99,826848.23,2112.58709,93907.23136164,3499.21321,66491.0344739,5889.13916,279099.503409,1810.7623482386941,1900.170995122072,4445.129472112792,4739.22411792694
2022-01-01,46171.56,831993.09,1958.05371,87768.51808096,3192.99517,60025.35902463,5519.66228,261123.84723919,1801.960102712579,1879.9076048909276,4482.43669888708,4730.793914427497
2022-02-01,45274.89,826843.02,1884.23984,86041.03045858,2956.22576,57070.11748324,5263.17207,255218.03015804,1826.2728413034245,1930.5060613246264,4566.352363008097,4849.1295128422435
2022-03-01,54056.51,960581.67,2237.51212,107106.73616514,3275.18914,64051.86536402,5927.87053,285892.55353523,1776.9953517161948,1955.669203398128,4786.867307120553,4822.854211953074
2022-04-01,55843.88,983573.45,2229.30163,105459.202747038,3311.86797,65061.6729307542,5792.96526,285011.12435224,1761.2913894951425,1964.5008049869273,4730.59371275111,4919.952244841185
2022-05-01,59462.89,1040220.53,2378.03107,113693.594173188,3315.64775,65799.907473401,5829.01359,278832.7767005,1749.3608702839704,1984.5264767163824,4780.997002414607,4783.532794962998
2022-06-01,58629.08,1014412.62,2279.45728,108751.633649997,3089.98653,60884.79270539,5690.79212,269935.471487439,1730.220941553236,1970.3902303221366,4770.944145529106,4743.372553335141
2022-07-01,62893.4,1063117.04,2348.33761,115855.731511351,3133.46528,64514.961479738,5735.51845,270609.048199317,1690.3475404414453,2058.9014306786257,4933.521100969421,4718.127063113484
2022-08-01,65819.06,1073162.17,2447.83112,112357.556157457,3033.46938,62158.655007326,5723.84459,267288.749811409,1630.4732550115423,2049.094525797587,4590.086106816757,4669.741562836683
2022-09-01,67807.99775,1116438.08995362,2453.05576,122093.835733839,2899.37815,61203.914227416,5684.15012,263765.233251698,1646.469630425889,2110.932450374436,4977.214041552769,4640.363602003144
2022-10-01,73054.21,1211587.5,2554.01954,129048.201890468,2962.37803,66950.293638923,6078.30447,290556.589965747,1658.4773143122072,2260.018571597461,5052.749200598051,4780.224343808612
2022-11-01,73094.4703,1190593.39340752,2347.73323,114793.948504411,2608.28281,55593.676854854,5568.42372,264180.382084899,1628.8419473059919,2131.428257768336,4889.565263955096,4744.2578971863695
2022-12-01,78288.95,1281970.86,2556.46505,126523.68982179,2667.10247,58626.039558742,5850.32896,278927.157300544,1637.4863374716358,2198.117253393043,4949.165638771006,4767.717494308969
2023-01-01,80385.88,1299058.78,2593.52054,127682.395559395,2510.09094,55777.952746862,5709.48261,270595.343654418,1616.0285612348835,2222.148682264954,4923.130300691391,4739.402186469188
2023-02-01,75347.57,1235846.58,2323.20224,118684.323662248,2265.3106,49693.385490822,5433.46477,262097.7989911,1640.194342033857,2193.6676361653012,5108.652256733706,4823.769180178195
2023-03-01,86516.33764,1404950.5944224,2634.2898,137311.126904638,2382.49573,53724.0158234,5878.88749,284949.024648691,1623.913624578619,2254.946993059249,5212.453349082473,4846.988909609002
2023-04-01,88632.59542,1415504.71454413,2592.55046,132768.507199508,2295.38468,54627.3893523731,5667.30618,281247.774068701,1597.0475735665082,2379.8794959445795,5121.15421658979,4962.635953236975
2023-05-01,94151.84588,1489145.4422149,2734.74265,140659.599451197,2239.76702,52775.905592956,5655.90831,278080.496533375,1581.6423228843232,2356.312291488068,5143.430934943623,4916.637280730158
2023-06-01,93350.61489,1475464.26115634,2629.04944,137234.338880865,2102.23617,51049.346831379,5540.42939,272642.959589611,1580.5619094153349,2428.3354819919687,5219.922333634966,4920.971650350931
2023-07-01,99642.55681,1533536.44104629,2780.8989,145108.320193648,2101.31454,53313.132963137,5553.98241,267869.879527067,1539.037626232797,2537.1324448712476,5218.036520265011,4823.023548738013
2023-08-01,105860.16335,1576536.53795982,2905.77652,148602.00749765,2075.941,52679.668275703,5685.10399,271611.683369746,1489.2632772040965,2537.6283948196506,5114.020519983072,4777.60272894755
2023-09-01,105556.87,1579133.18,2739.42907,142319.550735162,1839.04344,46866.438599953,5340.69516,259071.925502748,1496.0022782032095,2548.4138971699876,5195.226709599091,4850.902696021842
2023-10-01,114087.9,1715768.34,3200.47713,178569.12678359,1904.23479,52101.140902639,5683.38459,276289.3258,1503.9003610374107,2736.0670635914075,5579.4532980646545,4861.351918470117
2023-11-01,112352.92,1739740.61,2970.89633,160643.965881132,1771.65904,49394.151362115,5505.75141,275032.398845051,1548.4605206522447,2788.016782400467,5407.2558594170805,4995.36536185623
2023-12-01,120202.26,1822949.45,3214.99532,165119.23511003,1768.1564,47934.519404203,5428.47035,267842.503582792,1516.5683656863025,2710.988654861244,5135.90903485452,4934.032725863411
2024-01-01,122030.18,1841083.97,3289.51519,166443.933666586,1644.6753,45486.573532701,5272.18696,259326.325158527,1508.7120005887068,2765.6871561639546,5059.831739721682,4918.761931737849
2024-02-01,121026.73,1827869.35,3112.44411,149206.370366302,1522.47458,41452.0718799601,5139.16828,255808.936638088,1510.302186963161,2722.677437409832,4793.865049236242,4977.633007924932
2024-03-01,134400.04,1978353.23,3439.37776,164459.076558307,1594.7514,44748.947392683,5528.6264,276713.838853524,1471.9885723248296,2806.013990185743,4781.652032264899,5005.110109330664
2024-04-01,133039.94,1964464.52,3441.50699,156498.377889571,1518.61472,43911.091896934,5207.60143,264456.72741179,1476.5975691209721,2891.522867428415,4547.379341210375,5078.282794230472
2024-05-01,140358.43,2044937.05,3601.35663,164955.263747157,1503.81627,43564.966516437,5133.5241,258784.979855776,1456.9392447607174,2896.96071159258,4580.364587418187,5041.078503084773
2024-06-01,138851.42,2007081.2,3579.49455,158822.101380227,1423.93548,41258.8625352084,5045.81442,253843.903649873,1445.488422084556,2897.523315818242,4436.997994038767,5030.78160472404
2024-07-01,144355.54,2064292.41,3837.79537,172670.20552073,1456.55829,44764.66719203,5040.14444,248967.695930268,1430.0056721065225,3073.3179371784704,4499.203028657831,4939.693671363672
2024-08-01,149630.47,2060735.57,3900.49324,168184.192640946,1422.44889,43541.834490858,5128.53446,253703.451274743,1377.216532167546,3061.0473808206916,4311.869866000487,4946.899611448512
2024-09-01,150417.47,2063994.71,3921.62365,176202.05391173,1353.64044,40101.507873759,4922.17655,243929.532208667,1372.1775203372322,2962.4933393508104,4493.089333335952,4955.724967010112
2024-10-01,165849.66,2349821.46,4332.13786,201788.905015753,1427.17406,46829.751251559,5515.23295,284076.147498036,1416.8382738921503,3281.292209834517,4657.952067475364,5150.755191547005
2024-11-01,154820.21,2155187.41,3936.03746,169298.163539865,1231.88968,39010.006927943,4734.6148,240470.590784177,1392.0581880104671,3166.6802280495604,4301.233544150898,5078.989547030879
2024-12-01,167300.09,2324699.94,4328.49503,187949.421330207,1280.09805,40598.847723371,4923.54062,251160.643540641,1389.5389655797555,3171.542033313073,4342.142477409914,5101.220095969087
2025-01-01,169960.01,2348037.11,4305.72385,184126.165173634,1216.69427,38963.364902577,4883.53232,250646.060730206,1381.5232830358152,3202.3956932563674,4276.3115236392605,5132.474698768984
2025-02-01,161061.93,2196481.7,3969.5909,167207.96449526,1082.49702,34314.043555164,4473.7689,234407.962815308,1363.7497700418717,3169.897276499107,4212.221579187417,5239.608215241248
2025-03-01,183015.08,2477221.59,4586.50423,201493.898499799,1203.01951,39054.681669209,4957.21528,262539.794666596,1353.5614606184365,3246.3880547713643,4393.191162494557,5296.114448081746
2025-04-01,178934.24,2394925.87,4502.70226,184237.408605768,1170.93484,38113.116037067,4578.05976,243493.553580905,1338.4391215454348,3254.9305678757496,4091.7075562035498,5318.706315465505
2025-05-01,186774.6,2514297.01,4676.93491,189831.642827561,1150.46827,36978.432588403,4579.87566,244944.908328709,1346.1664541109978,3214.207080079053,4058.889988433921,5348.287301072908
2025-06-01,183950.06,2403930.69,4587.10133,183088.135537434,1085.72071,35463.4122775409,4358.58139,228734.669581592,1306.8387637383755,3266.347592977286,3991.3688921590483,5247.9155283502005
2025-07-01,194679.48,2508498.1,4861.81121,193849.415862779,1120.6097,38137.506913987,4447.6552,231722.428538561,1288.5272243381787,3403.281884315922,3987.185176258191,5209.990840534604
2025-08-01,200083.1,2485472.9,4935.77176,191169.899264653,1120.80272,37406.310724843,4601.36709,238883.151134951,1242.2203074622494,3337.457168630266,3873.15112124741,5191.569080721856
2025-09-01,196334.33,2489736.52,4952.40648,216706.990765325,1047.39031,36775.699078462,4370.90119,229713.384524986,1268.110635567402,3511.1742706939876,4375.791681084404,5255.515385489326
2025-10-01,207009.21,2727790.71,5182.89549,214230.300951663,1096.24575,42143.012379736,4636.33544,250321.454326385,1317.7146611013104,3844.3033762945943,4133.409623346717,5399.123026490616
2025-11-01,204669.79,2631632.64,5029.84178,188799.009889649,1012.11314,34143.386568867,4380.22645,234054.556200808,1285.7943715093468,3373.4752785510714,3753.5775109341316,5343.4350683126895
2025-12-01,216346.68,2796712.71,5398.34125,204686.606452167,1049.2403,37274.380087198,4444.01793,238924.801099777,1292.6996198878578,3552.511287185405,3791.657417955321,5376.323967706787
2026-01-01,217034.45,2833481.26,5397.11275,199084.866031139,1018.29499,37956.691164684,4412.00393,239172.025352446,1305.5444700138619,3727.474998642977,3688.729052976316,5420.938628956435
2026-02-01,203941.84,2684229.3,4937.955,177291.983,917.122,33134.625,4145.117,230241.73,1316.1739150730423,3612.891741774813,3590.3928448112633,5554.529100143614
2026-03-01,226411.08,2952542.03,5774.765,219494.691,1013.174,37948.392,4439.993,248419.035,1304.0625176117708,3745.496035231856,3800.928539949244,5595.032131807415
